name,star,comment,class,address,latitude,longitude
迷客夏Milksha 新北三和店,3.3,332,冰品飲料店,新北市三重區三和路三段18號,25.070236,121.4967069
鮮茶道（三重福隆店）,4.1,74,冰品飲料店,新北市三重區福隆路36號1樓,25.0784022,121.4921607
得正#三重徐匯計劃,3.5,189,冰品飲料店,新北市三重區三和路四段209號,25.0795948,121.4817669
五桐號WooTea 新北三重文化北店,3,227,冰品飲料店,新北市三重區文化北路20號,25.0641062,121.4991621
白巷子三重三和店,3.2,149,冰品飲料店,新北市三重區三和路四段229號,25.0798545,121.4812848
零度甜 冰品/豆花/甜湯,4.1,279,冰品飲料店,新北市三重區仁愛街20號,25.0711965,121.4965687
康青龍 三重台北橋店,3.1,95,冰品飲料店,新北市三重區重新路一段106號,25.0632105,121.5009429
喉饑果汁-現打果汁專賣店,4.3,3,冰品飲料店,新北市三重區重陽路三段5巷13號,25.065237,121.491052
KING KONG金剛咖啡茶飲,4.6,125,冰品飲料店,新北市三重區大同南路160號,25.0576245,121.4965488
COMEBUY_三重文化店,3.6,67,冰品飲料店,新北市三重區文化北路156號,25.0673587,121.4981492
康青龍 三重車路頭店,3.5,130,冰品飲料店,新北市三重區車路頭街163號,25.0773578,121.4837151
